               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.028017,            0.012987,           0.0013198,             0.91995,             0.84864,             0.92271,             0.59136,            0.032677,           0.0079608,           0.0017507,           0.0076679,           0.0076679,           0.0076679
                  36,            0.027756,            0.012861,           0.0012675,             0.89978,             0.86904,             0.93298,             0.62318,            0.031184,           0.0076108,           0.0012544,            0.007543,            0.007543,            0.007543
                  37,            0.027133,            0.012728,           0.0012232,             0.91392,              0.8905,             0.94329,              0.6272,             0.03027,           0.0075903,           0.0024251,            0.007416,            0.007416,            0.007416
                  38,            0.027128,            0.012609,           0.0013063,             0.91911,             0.87247,             0.93223,             0.61932,            0.030845,           0.0076653,           0.0011617,           0.0072872,           0.0072872,           0.0072872
                  39,            0.026942,              0.0125,           0.0012338,              0.9195,             0.87232,             0.93184,             0.62573,            0.031151,           0.0077289,            0.001014,           0.0071566,           0.0071566,           0.0071566
                  40,            0.026899,             0.01276,           0.0013065,             0.88848,             0.91176,             0.94481,             0.63569,             0.03035,           0.0074301,          0.00062779,           0.0070243,           0.0070243,           0.0070243
                  41,            0.026316,             0.01237,            0.001143,              0.9221,              0.8909,              0.9436,             0.63618,            0.029874,           0.0076928,          0.00063016,           0.0068906,           0.0068906,           0.0068906
                  42,            0.026066,            0.012211,          0.00091124,             0.91661,              0.8926,             0.94902,              0.6365,            0.029779,           0.0075109,          0.00061962,           0.0067555,           0.0067555,           0.0067555
                  43,            0.025684,            0.011927,            0.000897,             0.92318,             0.89486,             0.95216,             0.63953,             0.02901,            0.007387,           0.0008759,           0.0066191,           0.0066191,           0.0066191
                  44,            0.025935,            0.012069,          0.00099058,              0.9196,             0.89314,              0.9431,             0.63579,             0.02982,           0.0076461,          0.00075273,           0.0064816,           0.0064816,           0.0064816
                  45,            0.025577,             0.01222,          0.00085225,             0.91313,             0.92024,             0.95108,             0.64052,            0.029537,           0.0075508,          0.00087106,           0.0063432,           0.0063432,           0.0063432
                  46,            0.025601,            0.011913,           0.0012026,             0.92965,             0.88047,             0.94067,               0.638,            0.030251,           0.0075494,          0.00093442,            0.006204,            0.006204,            0.006204
                  47,            0.025118,            0.011872,          0.00097604,             0.92852,             0.89972,             0.94938,             0.64611,            0.029386,           0.0074655,          0.00088431,            0.006064,            0.006064,            0.006064
                  48,            0.024765,            0.012021,          0.00083356,             0.92924,             0.89553,             0.94958,             0.65024,            0.029183,           0.0074451,           0.0014766,           0.0059235,           0.0059235,           0.0059235
                  49,            0.024583,            0.011629,          0.00081927,             0.93416,             0.88841,             0.94901,             0.65401,            0.029769,           0.0073529,           0.0022817,           0.0057826,           0.0057826,           0.0057826
                  50,            0.024248,            0.011615,          0.00084521,             0.93315,             0.89149,             0.94584,             0.65656,            0.029656,           0.0074042,           0.0013952,           0.0056413,           0.0056413,           0.0056413
                  51,            0.024148,            0.011485,          0.00090364,             0.91862,             0.89694,             0.94397,             0.64861,             0.03016,            0.007513,           0.0016884,              0.0055,              0.0055,              0.0055
                  52,             0.02403,            0.011252,           0.0008742,             0.92139,             0.90558,             0.95051,              0.6546,            0.029536,           0.0075181,          0.00083745,           0.0053587,           0.0053587,           0.0053587
                  53,            0.023743,            0.011133,          0.00084913,             0.94648,             0.90517,             0.95671,             0.66159,             0.02978,           0.0075017,           0.0012826,           0.0052174,           0.0052174,           0.0052174
                  54,            0.023594,            0.011133,          0.00075286,             0.92625,             0.91362,             0.95568,             0.66332,            0.029181,           0.0073278,          0.00080055,           0.0050765,           0.0050765,           0.0050765
                  55,            0.023155,            0.010994,          0.00073411,             0.94625,             0.89965,              0.9544,             0.65094,            0.029743,           0.0075219,           0.0011125,            0.004936,            0.004936,            0.004936
                  56,            0.023061,            0.011067,          0.00084092,             0.93324,             0.90807,             0.95308,             0.66122,            0.029162,           0.0074979,           0.0022988,            0.004796,            0.004796,            0.004796
                  57,            0.022904,            0.011006,          0.00084064,             0.93477,             0.89832,             0.95146,             0.65684,            0.029441,           0.0077078,          0.00083476,           0.0046568,           0.0046568,           0.0046568
                  58,            0.022868,            0.010995,          0.00076387,             0.93246,             0.90394,             0.95064,             0.65376,            0.029281,           0.0075854,            0.001707,           0.0045184,           0.0045184,           0.0045184
